OBJECTID,FID_,Date,Block,Street_or_,Building_C,Tree_Tag_N,Status,Species_Co,Common_Nam,Genus,Species,Ownership,Location_C,DBH,Number_of_,Percentage,Crown_Widt,Total_Heig,Latitude,Longitude,Height_to_,Unbalanced,Reduced_Cr,Weak_Yello,Defoliatio,Dead_Broke,Poor_Branc,Lean,Trunk_Scar,Branch_Sca,Conks,Rot_Cavity,Rot_Cavi_1,Crack,Confined_S,Girdling_R,Recent_Tre,Conflict_w,Conflict_1,Conflict_2,Conflict_3,Conflict_4,Cable_Brac,Comments,Additional,Replacemen,New_Specie,Transparen,locale,subway,sbwy100
2511,2510,5/31/2013,B,Toronto Track & Field,7,626,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,15.5,2,0,12,9,43.77794706,-79.50863662,5,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2512,2511,5/31/2013,B,Toronto Track & Field,7,627,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,17,1,0,6,12,43.77795094,-79.50860496,9,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2513,2512,5/31/2013,B,Toronto Track & Field,7,628,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,11.5,1,0,7,7,43.77793476,-79.50856985,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2514,2513,5/31/2013,B,Toronto Track & Field,7,629,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,21.5,1,0,15,11,43.7779578,-79.50858309,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2515,2514,5/31/2013,B,Toronto Track & Field,7,630,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,17,1,0,9,13,43.77791999,-79.5085334,3,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,within,
2516,2515,5/31/2013,B,Toronto Track & Field,7,631,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,11.5,1,0,4,11,43.77792644,-79.50848063,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,within,
2517,2516,5/31/2013,B,Toronto Track & Field,7,632,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,16.5,1,0,10,12,43.77792589,-79.5084379,4,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2518,2517,5/31/2013,B,Toronto Track & Field,7,633,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,9,3,0,8,9,43.77792722,-79.50841223,7,0,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2527,2526,5/31/2013,B,Toronto Track & Field,7,642,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,22.292994,1,0,9,10,43.77797849,-79.50850794,4,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Broken branch,,,0,periph,within,
2528,2527,5/31/2013,B,Toronto Track & Field,7,643,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,12.420382,2,0,7,7,43.77798158,-79.50856212,5,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Broken branch,,,0,periph,within,
