TreeID,date,spp,DBH (in),CW (ft),conks,trunk scar,dead/broken branches,poor branch health,comments
648,11-Oct,ginkgo,6.9,8.2,0,0,2,1,
647,11-Oct,ginkgo,10.5,25,0,0,0,1,
1275,11-Oct,appcra,4.3,13.45,0,0,0,0,
1272,11-Oct,appcra,3.8,11.8,0,2,0,0,
1271,11-Oct,appcra,4.4,19.1,0,3,0,0,
1276,11-Oct,appcra,3.3,14.4,0,1,1,1,
535,11-Oct,oakred,5.4,18.35,0,0,0,0,
553,11-Oct,appcra,4.7,20,0,0,0,0,
1444,11-Oct,ginkgo,3.1,7.25,0,0,0,0,
1402,11-Oct,appcra,5.3,16.1,0,0,0,0,
1445,11-Oct,ginkgo,3.3,12.2,0,0,0,0,
