Tree_Tag_N,Status,Species_Co,Common_Nam,Genus,Species,Ownership,Location_C,DBH,Number_of_,Percentage,Crown_Widt,Total_Heig,Latitude,Longitude,subway,subway_dist,density_10m
397,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,18.1,1,80,6,8,43.774009,-79.501569,within,68.43318093,9
398,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,23.6,1,80,10,8,43.773971,-79.50156,within,72.11002074,9
399,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,17.4,1,80,5,8,43.774016,-79.501523,within,66.37241441,10
400,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,19.5,1,80,8,7,43.773986,-79.501512,within,69.16212188,9
511,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,17.5,1,40,4,9,43.773073,-79.501688,within,168.8892609,10
545,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,8.8,1,0,3,5.5,43.773259,-79.500835,within,124.8821367,3
657,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,19.5,1,85,8,14,43.772948,-79.50151,within,162.0351174,16
658,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,21.8,1,85,8,15,43.77296,-79.501452,within,163.9736505,13
659,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,23.5,1,57,8,15,43.772972,-79.501392,within,166.400974,10
660,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,27,1,57,14,16,43.772984,-79.501353,within,167.5609345,10
661,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,24.2,1,70,12,16,43.772997,-79.501302,within,169.2175247,9
662,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,27,1,70,13,14,43.773008,-79.501253,within,170.3696493,10
663,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,25.5,1,80,12,14,43.773018,-79.501211,within,172.4735199,9
664,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,11.2,1,50,4.5,9,43.773029,-79.501148,within,173.8622458,11
665,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,25.5,1,75,10,13,43.773047,-79.501062,within,178.1485571,6
667,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,18,1,65,8,11,43.773064,-79.500961,within,182.8838185,8
668,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,25.2,1,70,12,12,43.773077,-79.500912,within,185.1869964,9
670,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,6,1,5,3,4,43.77309,-79.500852,within,189.6399743,9
1054,alive,peapea,Flowering Pear,Pyrus,spp,p,by,7.8,1,0,3,7,43.772468,-79.499385,within,165.3254656,3
1059,alive,peapea,Flowering Pear,Pyrus,spp,p,by,6.8,1,0,3,5,43.772354,-79.499907,within,192.1545024,2
1093,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,19.2,1,0,2,10,43.773243,-79.5001,within,105.4271184,5
1094,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,12.2,1,0,4,10,43.773287,-79.500052,within,339.7317956,3
1095,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,16.3,1,0,2,10,43.773295,-79.500003,within,97.2431338,5
1096,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,18.2,1,0,2,10,43.773309,-79.499952,within,94.32483535,5
1097,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,16.3,1,0,4,11,43.773319,-79.499895,within,91.64933191,5
1098,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,22,1,0,4,11,43.773329,-79.49984,within,89.03128485,5
1099,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,20.6,1,0,4,11,43.773341,-79.499778,within,86.00454323,4
349,alive,ginkgo,Ginkgo,Ginkgo,biloba,P,fy,10.828025,1,0,0,7.5,43.775946,-79.50124,within,141.608032,3
1140,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,sr,15.5,1,0,6,11,43.774953,-79.501259,within,38.39635023,5
1141,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,sr,12,1,0,4,10,43.77497,-79.501273,within,39.75172832,7
1150,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,14,1,0,5,9,43.77505,-79.50147,within,42.20857816,6
1151,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,13.5,1,0,4,8,43.775079,-79.501504,within,44.20086786,5
1152,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,15,1,0,6,10,43.77509,-79.501548,within,44.0373043,5
1153,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,13,1,0,6,10,43.775066,-79.501627,within,39.22205968,5
1154,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,11.5,1,0,5,9,43.775037,-79.501646,within,35.66335625,5
1155,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,14.5,1,0,5,10,43.774992,-79.501656,within,30.71703997,5
1156,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,12.5,1,0,6,11,43.774978,-79.501695,within,28.1174951,5
1157,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,12,1,0,7,11,43.774967,-79.501736,within,25.76889277,5
1158,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,14,1,0,7,12,43.774955,-79.501774,within,23.40560538,5
1159,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,8,1,0,3,6,43.774941,-79.501831,within,20.27407782,4
1160,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,14,1,0,6,12,43.774931,-79.501875,within,17.94016544,3
1161,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,13.5,1,0,7,11,43.774895,-79.502034,within,9.520359027,3
1162,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,14,1,0,5,10,43.774885,-79.502093,within,6.74313475,4
1163,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,14,1,0,7,12,43.774872,-79.502135,within,4.158287373,4
1164,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,14.5,1,0,5,11,43.774858,-79.5022,within,0.790338033,4
1165,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,12.5,1,0,5,12,43.774845,-79.502279,within,2.88801905,3
2018,alive,ginkgo,Ginkgo,Ginkgo,biloba,c,st,4,1,0,1,4,43.7781232,-79.50829391,within,158.9413967,1
2020,alive,ginkgo,Ginkgo,Ginkgo,biloba,c,st,5,1,0,0.5,3,43.77806813,-79.5085468,within,145.8468356,2
2033,alive,ginkgo,Ginkgo,Ginkgo,biloba,c,st,4,1,0,0.5,4,43.77763953,-79.5105525,within,42.63972198,3
2173,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,w,4.5,1,0,2.5,7,43.7760433,-79.50436675,within,59.03347524,6
2174,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,w,5.2,1,0,2.5,6.5,43.77594551,-79.50432184,within,50.23880283,5
2175,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,w,4,1,0,2.5,5,43.77586326,-79.50428555,within,42.79810862,5
2176,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,w,3.7,1,0,2.5,5,43.77575429,-79.50423315,within,33.06723446,8
2177,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,w,4.3,1,0,3,5,43.77567157,-79.50419881,within,25.52060909,7
585,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,5,1,0,2,5,43.773602,-79.50452,within,93.75971633,3
586,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,4.5,1,0,2,4,43.773612,-79.504476,within,195.5550092,4
587,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,5,1,0,2,4,43.773621,-79.504428,within,86.19297714,2
588,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,6,1,0,2,5,43.773629,-79.504391,within,191.2820446,3
544,alive,ginkgo,Ginkgo,Ginkgo,biloba,p,fy,15,1,0,7,12,43.773237,-79.500958,within,130.701763,4
685,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sr,19.5,1,10,5,7,43.778135,-79.496587,out,212.3092756,6
686,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sr,18,1,10,5,6,43.778175,-79.496606,out,214.1718159,4
687,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sr,20,1,20,6,7,43.778215,-79.496623,out,510.5219245,7
688,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sr,16,1,0,5,7,43.778261,-79.496641,out,514.779204,4
898,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sr,14,5,0,5,6,43.779014,-79.501095,out,462.7395581,4
946,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sl,13,2,0,6,8,43.778265,-79.503587,out,311.7582702,2
1755,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sr,10,4,0,4,5,43.775997,-79.498189,out,235.3202774,6
1759,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sr,7,6,0,4,6,43.776062,-79.497878,out,251.0017285,3
1761,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,by,7,5,0,4,7,43.775915,-79.498585,out,215.4324277,1
1763,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,by,9,6,0,4,7,43.775852,-79.498833,out,201.768649,1
266,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,fy,9.235669,1,0,3.5,3.5,43.771458,-79.508471,out,535.9414173,2
378,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sr,13,4,0,6,5,43.771066,-79.506161,out,508.5017602,5
379,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sr,14,4,0,6,5,43.771087,-79.506131,out,93.86068737,9
380,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sr,12,4,0,6,5,43.771112,-79.506165,out,96.84280039,10
736,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,fy,5,1,0,2,4.5,43.771389,-79.50465,out,430.2166045,4
849,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sr,5,10,0,8,9,43.771462,-79.503499,out,388.5810272,2
922,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sl,3,1,0,1.5,2,43.770509,-79.505177,out,536.7528375,4
923,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sl,3,1,0,1.5,2,43.770525,-79.50515,out,534.2965761,4
924,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sl,3,1,0,1.5,1.8,43.770503,-79.505143,out,536.3585659,4
1363,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p, ,6.687898,7,0,4.2,5.5,43.768361,-79.509075,out,874.0078965,1
46,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sl,4,3,0,2.5,5,43.771413,-79.501911,out,347.3975662,8
47,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sl,3,4,0,2.5,5,43.771387,-79.501896,out,349.665185,6
48,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sl,4,4,0,3,5,43.771368,-79.501894,out,351.579816,6
49,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sl,4,4,0,2.5,5,43.771357,-79.50192,out,353.4684912,8
50,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sl,4,3,0,2.5,5,43.771382,-79.501948,out,351.6825016,10
54,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sl,4,1,0,2.5,4,43.771695,-79.502103,out,323.7445321,4
55,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sl,4,1,0,2,3,43.771656,-79.502062,out,326.5960646,4
646,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,fy,5,1,0,2.5,4.5,43.772704,-79.502571,out,142.6427984,20
648,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,fy,4,1,0,2.5,4,43.77272,-79.502513,out,137.5449608,23
649,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,fy,6,1,0,4.5,5,43.772734,-79.502466,out,144.5028012,15
1257,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,sr,4,5,0,10,5,43.771102,-79.498305,out,275.8311156,3
1270,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,by,4,3,0,2.5,5,43.771558,-79.497363,out,200.4422965,16
1272,alive,sersmo,Smooth Serviceberry,Amelanchier,laevis,p,by,4,2,0,2.5,5,43.771553,-79.497349,out,200.5583289,16
376,alive,pinaus,Austrian Pine,Pinus,nigra,p,n,28.8,1,0,11,12,43.774643,-79.51047093,out,99.38544869,10
996,alive,pinaus,Austrian Pine,Pinus,nigra,p,by,33,1,0,14,13,43.778004,-79.502077,out,329.261377,8
2,alive,pinaus,Austrian Pine,Pinus,nigra,p,sl,37.5,1,25,14,14,43.771225,-79.502744,out,391.0605528,5
575,alive,pinaus,Austrian Pine,Pinus,nigra,p,by,41,1,0,8,11,43.77703,-79.498412,out,336.1312797,6
1411,alive,pinaus,Austrian Pine,Pinus,nigra,p,by,34,1,0,10,15,43.772022,-79.502655,out,305.8801182,4
11,alive,pinaus,Austrian Pine,Pinus,nigra,p,sl,33.757962,1,0,14,11,43.770711,-79.502525,out,437.9713427,3
1846,alive,pinaus,Austrian Pine,Pinus,nigra,p,e,30.5,1,10,9,16,43.77858505,-79.50442344,out,320.2636255,10
1333,alive,pinaus,Austrian Pine,Pinus,nigra,p,sl,34.5,1,0,1,13,43.771229,-79.50308,out,400.3997445,4
1910,alive,pinaus,Austrian Pine,Pinus,nigra,p,n,20.063694,1,3,7,13,43.77839561,-79.50650918,out,239.0839539,15
436,alive,pinaus,Austrian Pine,Pinus,nigra,p,w,40.5,1,0,14,13,43.77446282,-79.50840568,out,223.4266154,5
1535,alive,pinaus,Austrian Pine,Pinus,nigra,p,n,19.426752,1,0,12,15,43.77836387,-79.50671997,out,229.6615297,9
1118,alive,pinaus,Austrian Pine,Pinus,nigra,P,fy,32.165605,1,0,11,20,43.777369,-79.500568,out,308.5359356,2
1066,alive,pinaus,Austrian Pine,Pinus,nigra,p,sr,41.082803,1,0,10,12,43.776947,-79.499263,out,302.9837933,3
619,alive,pinaus,Austrian Pine,Pinus,nigra,p,by,38,1,30,8,10,43.778854,-79.499541,out,492.3629414,3
939,alive,pinaus,Austrian Pine,Pinus,nigra,p,sl,40.5,1,0,8,11,43.778495,-79.503679,out,332.8437482,6
992,alive,pinaus,Austrian Pine,Pinus,nigra,p,by,47,1,0,12,11,43.778051,-79.502167,out,331.4530212,7
576,alive,pinaus,Austrian Pine,Pinus,nigra,p,by,37,1,0,10,10,43.777046,-79.497843,out,122.0247049,4
1205,alive,pinaus,Austrian Pine,Pinus,nigra,p,by,30,1,0,10,11,43.768438,-79.503558,out,703.5209315,2
257,alive,pinaus,Austrian Pine,Pinus,nigra,p,fy,43.312102,1,0,14,10,43.771307,-79.508576,out,554.6502549,4
943,alive,pinaus,Austrian Pine,Pinus,nigra,p,sl,34,1,0,10,10,43.778417,-79.503612,out,326.7454481,4
1426,alive,pinaus,Austrian Pine,Pinus,nigra,p,cy,41.8,1,0,10,13,43.772773,-79.501721,out,200.937499,1
1048,alive,pinaus,Austrian Pine,Pinus,nigra,p,by,40,1,0,11,15,43.776822,-79.499712,out,276.9954695,3
993,alive,pinaus,Austrian Pine,Pinus,nigra,p,by,46,1,0,12,13,43.777906,-79.502021,out,320.793732,3
1911,alive,pinaus,Austrian Pine,Pinus,nigra,p,n,27.707006,2,10,8,15,43.77842972,-79.50649603,out,242.9990108,13
240,alive,pinaus,Austrian Pine,Pinus,nigra,p,n,29.7,1,0,9,14,43.77489752,-79.50920245,out,194.7683428,6
1875,alive,pinaus,Austrian Pine,Pinus,nigra,p,n,43.2,1,0,12,25,43.77874568,-79.50527469,out,311.7256369,5
1871,alive,pinaus,Austrian Pine,Pinus,nigra,p,n,30,1,0,5,19,43.77864782,-79.50554148,out,293.7314761,3
434,alive,pinaus,Austrian Pine,Pinus,nigra,p,w,31,1,0,14,13.5,43.77452348,-79.50831793,out,214.5651353,5
1979,alive,pinaus,Austrian Pine,Pinus,nigra,p,s,37,1,0,8,24,43.77763851,-79.50433724,out,224.9020579,4
165,alive,pinaus,Austrian Pine,Pinus,nigra,p,fy,52,1,0,15,19,43.771621,-79.509305,out,543.7245548,4
286,alive,pinaus,Austrian Pine,Pinus,nigra,p,fy,29,1,0,7,10,43.777478,-79.502186,out,271.6870619,4
586,alive,pinaus,Austrian Pine,Pinus,nigra,p,by,36.5,1,0,6,11,43.777105,-79.497931,out,195.5550092,4
298,alive,pinaus,Austrian Pine,Pinus,nigra,p,fy,48,1,30,10,13,43.777374,-79.50269,out,246.0203024,7
846,alive,pinaus,Austrian Pine,Pinus,nigra,p,sr,48,1,0,14,14,43.771536,-79.503333,out,376.0269095,3
828,alive,pinaus,Austrian Pine,Pinus,nigra,p,sr,26.8,1,0,10,30,43.771525,-79.503732,out,388.9561677,4
830,alive,pinaus,Austrian Pine,Pinus,nigra,p,sl,31,1,20,5,9,43.778748,-79.503869,out,353.4273399,4
1056,alive,pinaus,Austrian Pine,Pinus,nigra,p,n,25.7,1,5,14,18,43.77296743,-79.51044507,out,437.7795273,5
291,alive,pinaus,Austrian Pine,Pinus,nigra,p,fy,40,1,0,10,11,43.777434,-79.502465,out,258.8808446,8
323,alive,pinaus,Austrian Pine,Pinus,nigra,p,sr,36.2,1,0,20,20,43.771359,-79.501446,out,511.2634043,11
835,alive,pinaus,Austrian Pine,Pinus,nigra,p,sl,41,1,0,7,14,43.778863,-79.503898,out,364.4698641,7
554,alive,pinaus,Austrian Pine,Pinus,nigra,p,sl,30,1,10,7,11,43.777416,-79.499079,out,356.9291383,3
1818,alive,pinaus,Austrian Pine,Pinus,nigra,p,e,41,1,40,11,18,43.77775501,-79.50405485,out,245.2537805,4
977,alive,pinaus,Austrian Pine,Pinus,nigra,p,by,38,1,0,10,12,43.777987,-79.502663,out,310.1672523,11
818,alive,pinaus,Austrian Pine,Pinus,nigra,p,fy,29,1,0,7,10,43.779703,-79.50131,out,527.512576,5
971,alive,pinaus,Austrian Pine,Pinus,nigra,p,by,31,1,0,3,11,43.777899,-79.502815,out,296.5964345,10
935,alive,pinaus,Austrian Pine,Pinus,nigra,p,sl,49,1,40,14,13,43.77859,-79.503801,out,339.0836029,5
1493,alive,pinaus,Austrian Pine,Pinus,nigra,p,st,37.898089,1,0,8,10,43.780833,-79.494992,out,829.106423,9
1117,alive,pinaus,Austrian Pine,Pinus,nigra,P,fy,38.535032,1,0,10,18,43.77736,-79.500582,out,307.192021,2
1409,alive,pinaus,Austrian Pine,Pinus,nigra,p,by,35.5,1,0,10,15,43.77194,-79.502675,out,314.9587393,5
1225,alive,pinaus,Austrian Pine,Pinus,nigra,p,sr,34.872611,1,0,4,16,43.775346,-79.499778,within,122.1007113,12
143,alive,pinaus,Austrian Pine,Pinus,nigra,p,fy,36,1,20,8,21,43.775996,-79.50385,within,69.33253027,3
572,alive,pinaus,Austrian Pine,Pinus,nigra,c,w,19.745223,1,0,12,16,43.77772636,-79.50848232,within,112.3476903,18
1677,alive,pinaus,Austrian Pine,Pinus,nigra,p,by,35.5,1,30,9,14,43.774738,-79.503178,within,40.68184035,8
763,alive,pinaus,Austrian Pine,Pinus,nigra,c,e,24.840764,1,0,6,14,43.77693404,-79.50620403,within,97.02548668,14
426,alive,pinaus,Austrian Pine,Pinus,nigra,p,w,42,1,0,16,14.5,43.77459018,-79.50787014,within,194.4462337,3
533,alive,pinaus,Austrian Pine,Pinus,nigra,c,w,22.6,1,15,5,14,43.77683948,-79.50815587,within,29.96286157,15
795,alive,pinaus,Austrian Pine,Pinus,nigra,c,n,32.802548,1,0,8,18,43.77809543,-79.5073926,within,182.2837326,9
433,alive,pinaus,Austrian Pine,Pinus,nigra,p,sr,31,1,30,8,14,43.775784,-79.501909,within,70.34857588,3
1957,alive,pinaus,Austrian Pine,Pinus,nigra,p,s,42,1,0,11,28,43.77744394,-79.50512636,within,181.5572816,7
537,alive,pinaus,Austrian Pine,Pinus,nigra,c,w,29.617834,1,0,6,13,43.77692247,-79.50821791,within,36.75589616,19
478,alive,pinaus,Austrian Pine,Pinus,nigra,p,s,35.5,1,0,15,15,43.77547058,-79.5082813,within,115.5048101,4
1682,alive,pinaus,Austrian Pine,Pinus,nigra,p,by,34.076433,1,0,7,13,43.774701,-79.503428,within,51.95306274,12
1546,alive,pinaus,Austrian Pine,Pinus,nigra,p,n,35.5,1,35,12,35,43.77440898,-79.50462878,within,117.7162395,8
714,alive,pinaus,Austrian Pine,Pinus,nigra,c,e,19.5,1,0,7,14.5,43.77733747,-79.50603091,within,143.8374468,22
442,alive,pinaus,Austrian Pine,Pinus,nigra,p,sr,39,1,30,11,16,43.775431,-79.50181,within,71.53645978,9
476,alive,pinaus,Austrian Pine,Pinus,nigra,p,s,34.5,1,0,9,15.5,43.77548497,-79.50838648,within,117.0737954,4
486,alive,pinaus,Austrian Pine,Pinus,nigra,c,w,37.5,1,35,14,15,43.77620829,-79.50792606,within,28.74336442,5
1232,alive,pinaus,Austrian Pine,Pinus,nigra,p,sr,36.942675,1,0,10,13,43.775417,-79.499758,within,130.044595,12
1192,alive,pinaus,Austrian Pine,Pinus,nigra,p,sr,32,1,0,2,12,43.774745,-79.499572,within,65.63917061,11
459,alive,pinaus,Austrian Pine,Pinus,nigra,p,by,34,1,0,10,14,43.775164,-79.501779,within,44.85807698,13
440,alive,pinaus,Austrian Pine,Pinus,nigra,p,sr,36,1,20,10,16,43.77547,-79.501828,within,75.03514775,8
340,alive,pinaus,Austrian Pine,Pinus,nigra,p,sl,29.5,1,40,7,9,43.775939,-79.502026,within,117.6152667,10
798,alive,pinaus,Austrian Pine,Pinus,nigra,c,n,22.929936,1,0,4,14,43.7781035,-79.50746553,within,180.9982078,10
376,alive,pinaus,Austrian Pine,Pinus,nigra,p,sr,45.5,1,0,9,14,43.776368,-79.500949,within,99.38544869,10
58,alive,pinaus,Austrian Pine,Pinus,nigra,p,fy,37,1,10,9,13,43.776367,-79.503379,within,121.5765789,4
71,alive,pinaus,Austrian Pine,Pinus,nigra,p,fy,45,1,10,11,13,43.776421,-79.504271,within,100.9158392,3
1499,alive,pinaus,Austrian Pine,Pinus,nigra,p,s,45,1,0,14,34,43.7750789,-79.50443032,within,42.58839276,4
1523,alive,pinaus,Austrian Pine,Pinus,nigra,p,s,33.8,1,0,9,20,43.77455462,-79.50424514,within,91.32590905,12
1958,alive,pinaus,Austrian Pine,Pinus,nigra,p,s,45.5,1,0,16,29,43.77739605,-79.50510783,within,177.1545988,13
636,alive,pinaus,Austrian Pine,Pinus,nigra,c,w,28.7,1,0,0,13.5,43.77789727,-79.50843533,within,131.4210177,26
2128,alive,pinaus,Austrian Pine,Pinus,nigra,p,n,30.6,1,35,12,21,43.77457025,-79.50394038,within,80.68843119,4
562,alive,pinaus,Austrian Pine,Pinus,nigra,c,w,29.299363,1,0,10,15,43.77748952,-79.50840601,within,90.03075454,6
1226,alive,pinaus,Austrian Pine,Pinus,nigra,p,sr,37.101911,1,0,8,16,43.775382,-79.499736,within,127.0438616,11
641,alive,pinaus,Austrian Pine,Pinus,nigra,c,w,16.1,1,0,7,9.5,43.77796795,-79.50852136,within,136.2395106,20
70,alive,pinaus,Austrian Pine,Pinus,nigra,p,fy,47,1,10,10,13,43.776545,-79.504037,within,120.6209313,3
872,alive,pinaus,Austrian Pine,Pinus,nigra,p,n,21.33758,1,0,10,12,43.77789611,-79.50816171,within,139.2604265,18
488,alive,pinaus,Austrian Pine,Pinus,nigra,c,w,28.5,1,0,11,14.5,43.77622806,-79.50790099,within,25.96587072,6
1941,alive,pinaus,Austrian Pine,Pinus,nigra,p,s,42.6,1,0,15,28,43.77723263,-79.50543595,within,150.5725464,6
61,alive,pinaus,Austrian Pine,Pinus,nigra,p,fy,54,1,0,11,15,43.776346,-79.503665,within,110.973506,3
1983,alive,pinaus,Austrian Pine,Pinus,nigra,p,e,39.5,1,20,16,24,43.77464989,-79.50392069,within,71.87686472,4
504,alive,pinaus,Austrian Pine,Pinus,nigra,c,w,31,1,0,6,13.5,43.7765151,-79.50797194,within,1.707590433,9
1184,alive,pinaus,Austrian Pine,Pinus,nigra,p,sr,28.5,1,20,6,11,43.774646,-79.499494,within,57.60452373,10
549,alive,pinaus,Austrian Pine,Pinus,nigra,c,w,14.33121,1,1,10,14,43.77714474,-79.50838782,within,54.84046574,14
427,alive,pinaus,Austrian Pine,Pinus,nigra,p,w,41.5,1,0,14,15,43.77460573,-79.5079589,within,195.4603223,3
514,alive,pinaus,Austrian Pine,Pinus,nigra,c,w,31,1,0,10,14,43.77652058,-79.5080427,within,0.216852047,8
892,alive,pinaus,Austrian Pine,Pinus,nigra,C,n,22.5,1,0,9,32,43.777456,-79.5085322,within,82.88719476,7
63,alive,pinaus,Austrian Pine,Pinus,nigra,p,fy,47.5,1,0,12,16,43.776327,-79.503746,within,106.6269668,3
1324,alive,appcra,Crab Apple,Malus,spp,p,e,7.5,1,5,4,5,43.77284754,-79.50784142,out,373.7211537,5
1353,alive,appcra,Crab Apple,Malus,spp,p,e,16.2,1,0,10,10,43.77362617,-79.50778903,out,291.6929679,7
1317,alive,appcra,Crab Apple,Malus,spp,p,s,9,7,15,4,3,43.77265299,-79.50775269,out,391.209688,8
1753,alive,appcra,Crab Apple,Malus,spp,p,sr,15,4,0,6,7,43.775996,-79.498283,out,232.5159052,4
407,alive,appcra,Crab Apple,Malus,spp,p,n,4,4,0,2,3,43.77437394,-79.51044106,out,291.9462003,19
553,alive,appcra,Crab Apple,Malus,spp,p,sl,9,1,10,5,4,43.773284,-79.50593,out,272.3329398,3
1310,alive,appcra,Crab Apple,Malus,spp,p,s,13,1,15,7,6.5,43.77243933,-79.50759765,out,408.7271372,3
255,alive,appcra,Crab Apple,Malus,spp,p,by,8,1,0,2.5,5,43.770518,-79.50235,out,452.9050694,5
332,alive,appcra,Crab Apple,Malus,spp,p,fy,25,4,0,9,12,43.771696,-79.507147,out,472.366891,8
1316,alive,appcra,Crab Apple,Malus,spp,p,s,8,1,5,4,3,43.77263775,-79.50775307,out,392.7961501,9
1304,alive,appcra,Crab Apple,Malus,spp,p,s,13,1,30,6,9,43.77255194,-79.50719537,out,385.2533047,4
1346,alive,appcra,Crab Apple,Malus,spp,p,s,16.3,1,5,7,10,43.77316359,-79.50733963,out,326.2335398,6
260,alive,appcra,Crab Apple,Malus,spp,p,by,6.5,1,0,2.5,6,43.770423,-79.502393,out,157.2568837,3
408,alive,appcra,Crab Apple,Malus,spp,p,n,4,4,0,2,3,43.77435792,-79.51045461,out,294.0000819,19
259,alive,appcra,Crab Apple,Malus,spp,p,by,6.4,1,0,3,5,43.770448,-79.502403,out,163.7185442,4
1748,alive,appcra,Crab Apple,Malus,spp,p,sr,10,1,0,8,9,43.776438,-79.497941,out,288.217654,4
409,alive,appcra,Crab Apple,Malus,spp,p,n,4,4,0,2,3,43.7743604,-79.51042562,out,292.899821,17
1325,alive,appcra,Crab Apple,Malus,spp,p,e,8,1,5,4,5,43.77286099,-79.50784838,out,372.53649,4
333,alive,appcra,Crab Apple,Malus,spp,p,fy,30.5,1,0,9,13,43.77168,-79.507143,out,473.904286,10
16,alive,appcra,Crab Apple,Malus,spp,p,sl,20.59448,3,0,17,10,43.770606,-79.502352,out,443.8309683,5
1307,alive,appcra,Crab Apple,Malus,spp,p,s,12.5,1,5,7,9,43.77254472,-79.50735959,out,390.827705,4
1676,alive,appcra,Crab Apple,Malus,spp,p,s,8,1,0,2,2,43.77258274,-79.51205333,out,524.6679484,3
1271,alive,appcra,Crab Apple,Malus,spp,p,e,9.5,1,35,5,17,43.77323191,-79.50642614,out,292.3063133,3
